danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,track_name,artist_name,realkey,preview_url
0.469,0.954,G,-4.799,Major,0.0362,2.4e-05,0.0531,0.336,0.503,105.879,4KGegVWRXvGnvWe1XaKcni,spotify:track:4KGegVWRXvGnvWe1XaKcni,160493,4,Cinnamon Girl - Ignoff,The Smashing Pumpkins,GMajor,5b24c89f7e15c4205acba0fcdf556601b609166e?cid=774b29d4f13844c495f206cafdad9c86
0.419,0.543,G,-7.409,Major,0.027,0.0481,0.71,0.117,0.226,140.621,3pgGUOkknJAqCAX5fY1sOR,spotify:track:3pgGUOkknJAqCAX5fY1sOR,294413,4,Glynis - 2012 Mix,The Smashing Pumpkins,GMajor,c79a2de240099ab78114c4bc544c202cac8bbbef?cid=774b29d4f13844c495f206cafdad9c86
0.485,0.379,D,-11.855,Major,0.0422,0.82,0.797,0.113,0.269,110.169,0U0fxikAKCbrbxGoGQB4ps,spotify:track:0U0fxikAKCbrbxGoGQB4ps,414547,4,Crawl - Gish Sessions ,The Smashing Pumpkins,DMajor,941530c9839b0999685443adb44868888c4c490b?cid=774b29d4f13844c495f206cafdad9c86
0.124,0.529,G#,-10.878,Major,0.0331,0.584,0.96,0.102,0.0644,92.223,3DmndOuv85itKZ0kKAcNhS,spotify:track:3DmndOuv85itKZ0kKAcNhS,216160,4,Cinder Open - Eddy St.,The Smashing Pumpkins,G#Major,3d33849aa19d0bbf1cc9324a2c84eb39b7ea8f04?cid=774b29d4f13844c495f206cafdad9c86
0.444,0.534,F,-7.166,Major,0.0265,0.387,0.0111,0.119,0.325,95.029,0hSjFFJfswJ1JtzsY1tbvB,spotify:track:0hSjFFJfswJ1JtzsY1tbvB,192773,4,Blissed - Sadlands Dem,The Smashing Pumpkins,FMajor,36e34a91f705516e712045b7abd80d8461222b11?cid=774b29d4f13844c495f206cafdad9c86
0.19,0.997,F,-2.931,Minor,0.237,0.00152,0.555,0.0367,0.189,108.848,53FEe8POnXL1ggsf8u3JuG,spotify:track:53FEe8POnXL1ggsf8u3JuG,156267,4,Slunk - Live On Japane,The Smashing Pumpkins,FMinor,3487b3b782e17e49aff82015c9b75b2078300b2a?cid=774b29d4f13844c495f206cafdad9c86
0.294,0.869,G#,-4.329,Major,0.0754,5.97e-05,0.431,0.103,0.643,107.652,3JEoOe0XMahtXFDGHQKKrz,spotify:track:3JEoOe0XMahtXFDGHQKKrz,235787,4,Jackie Blue,The Smashing Pumpkins,G#Major,ea286049f9ba90573aa4ef9d0fca9b1cc428a24a?cid=774b29d4f13844c495f206cafdad9c86
0.218,0.609,A,-6.096,Major,0.033,0.722,0.741,0.0883,0.191,160.804,0XYOc1J5tpU4n7sEADLepK,spotify:track:0XYOc1J5tpU4n7sEADLepK,275467,4,Venus In Furs - Live O,The Smashing Pumpkins,AMajor,9415dc0ca15b22f7f4bb6f6cee96b302b847ada7?cid=774b29d4f13844c495f206cafdad9c86
0.434,0.643,G,-7.329,Major,0.0314,0.000158,0.308,0.0652,0.203,172.139,3TCmTQBW39YNhRIjNgdLE8,spotify:track:3TCmTQBW39YNhRIjNgdLE8,226347,4,Translucent - Sadlands,The Smashing Pumpkins,GMajor,f6fcea58be78781d0ffa62e6ad4968b4b6e6f77d?cid=774b29d4f13844c495f206cafdad9c86
0.549,0.205,F#,-12.571,Minor,0.0392,0.621,0.098,0.11,0.133,101.11,26uT9p72iQPpZMcI6lYDo6,spotify:track:26uT9p72iQPpZMcI6lYDo6,115320,4,French Movie Theme - S,The Smashing Pumpkins,F#Minor,a43f29473588207409a6ee2e3303e977ba37722c?cid=774b29d4f13844c495f206cafdad9c86
0.587,0.0418,G,-17.871,Major,0.0432,0.913,0.682,0.111,0.142,80.504,0Kyb3Gkz4Dz1bc2eLOw0xN,spotify:track:0Kyb3Gkz4Dz1bc2eLOw0xN,169400,4,Purr Snickety - Gish B,The Smashing Pumpkins,GMajor,d906a290bbdd5d66d79b946d9d35b775bfd126d0?cid=774b29d4f13844c495f206cafdad9c86
0.588,0.793,G,-6.175,Major,0.0427,0.00265,0.00765,0.116,0.627,120.195,1arL82c2ClKI7VplxWS2O2,spotify:track:1arL82c2ClKI7VplxWS2O2,317640,4,There It Goes - Demo /,The Smashing Pumpkins,GMajor,7dc854331300861fee50925989c8ceb41108afca?cid=774b29d4f13844c495f206cafdad9c86
